Date,Open,High,Low,Close,Volume
2022-02-05,41501.48,41847.16,41038.10,41441.16,19652846215
2022-02-06,41441.12,42500.79,41244.91,42412.43,16142097334
2022-02-07,42406.78,44401.86,41748.16,43840.29,28641855926
2022-02-08,43854.65,45293.87,42807.84,44118.45,33079398868
2022-02-09,44096.70,44727.80,43232.97,44338.80,23245887300
2022-02-10,44347.80,45661.17,43402.81,43565.11,32142048537
2022-02-11,43571.13,43810.83,42114.54,42407.94,26954925781
2022-02-12,42412.30,42992.55,41852.57,42244.47,18152390304
2022-02-13,42236.57,42693.05,41950.94,42197.52,14741589015
2022-02-14,42157.40,42775.78,41681.96,42586.92,20827783012
2022-02-15,42586.46,44667.22,42491.04,44575.20,22721659051
2022-02-16,44578.28,44578.28,43456.69,43961.86,19792547657
2022-02-17,43937.07,44132.97,40249.37,40538.01,26246662813
2022-02-18,40552.13,40929.15,39637.62,40030.98,23310007704
2022-02-19,40026.02,40418.88,39713.06,40122.16,13736557863
2022-02-20,40118.10,40119.89,38112.81,38431.38,18340576452
2022-02-21,38423.21,39394.44,36950.48,37075.28,29280402798
2022-02-22,37068.77,38359.86,36488.93,38286.03,25493150450
2022-02-23,38285.28,39122.39,37201.82,37296.57,21849073843
2022-02-24,37278.57,38968.84,34459.22,38332.61,46383802093
2022-02-25,38333.75,39630.32,38111.34,39214.22,26545599159
2022-02-26,39213.08,40005.35,38702.54,39105.15,17467554129
2022-02-27,39098.70,39778.94,37268.98,37709.79,23450127612
2022-02-28,37706.00,43760.46,37518.21,43193.23,35690014104
2022-03-01,43194.50,44793.60,42952.59,44354.64,32479047645
2022-03-02,44357.62,45077.58,43432.85,43924.12,29183112630
2022-03-03,43925.20,44021.58,41914.75,42451.79,24967782593
2022-03-04,42458.14,42479.61,38805.85,39137.61,28516271427
2022-03-05,39148.45,39566.34,38777.04,39400.59,16975917450
2022-03-06,39404.20,39640.18,38211.65,38419.98,19745229902
2022-03-07,38429.30,39430.23,37260.20,38062.04,28546143503
2022-03-08,38059.90,39304.44,37957.39,38737.27,25776583476
2022-03-09,38742.82,42465.67,38706.09,41982.93,32284121034
2022-03-10,41974.07,42004.73,38832.94,39437.46,31078064711
2022-03-11,39439.97,40081.68,38347.43,38794.97,26364890465
2022-03-12,38794.46,39308.60,38772.54,38904.01,14616450657
2022-03-13,38884.73,39209.35,37728.14,37849.66,17300745310
2022-03-14,37846.32,39742.50,37680.73,39666.75,24322159070
2022-03-15,39664.25,39794.63,38310.21,39338.79,23934000868
2022-03-16,39335.57,41465.45,39022.35,41143.93,39616916192
2022-03-17,41140.84,41287.54,40662.87,40951.38,22009601093
2022-03-18,40944.84,42195.75,40302.40,41801.16,34421564942
2022-03-19,41794.65,42316.55,41602.67,42190.65,19664853187
2022-03-20,42191.41,42241.16,41004.76,41247.82,20127946682
2022-03-21,41246.13,41454.41,40668.04,41078.00,24615543271
2022-03-22,41074.11,43124.71,40948.28,42358.81,32004652376
2022-03-23,42364.38,42893.51,41877.51,42892.96,25242943069
2022-03-24,42886.65,44131.86,42726.16,43960.93,31042992291
2022-03-25,43964.55,44999.49,43706.29,44348.73,30574413034
2022-03-26,44349.86,44736.00,44166.27,44500.83,16950455995
2022-03-27,44505.36,46827.55,44437.29,46820.49,28160889722
2022-03-28,46821.85,48086.84,46690.20,47128.00,36362175703
2022-03-29,47100.44,48022.29,47100.44,47465.73,31397059069
2022-03-30,47456.90,47655.15,46746.21,47062.66,29333883962
2022-03-31,47062.15,47512.03,45390.54,45538.68,33327427106
2022-04-01,45554.16,46616.24,44403.14,46281.64,38162644287
2022-04-02,46285.50,47028.28,45782.51,45868.95,29336594194
2022-04-03,45859.13,47313.48,45634.11,46453.57,25414397610
2022-04-04,46445.27,46791.09,45235.82,46622.68,32499785455
2022-04-05,46624.51,47106.14,45544.81,45555.99,29640604055
2022-04-06,45544.36,45544.36,43193.95,43206.74,39393395788
2022-04-07,43207.50,43860.70,42899.91,43503.85,26101973106
2022-04-08,43505.14,43903.02,42183.29,42287.66,27215995394
2022-04-09,42282.08,42786.82,42183.25,42782.14,16050772496
2022-04-10,42781.09,43376.38,42021.21,42207.67,17654475582
2022-04-11,42201.04,42424.59,39373.06,39521.90,33949912166
2022-04-12,39533.71,40617.59,39388.33,40127.18,30991500854
2022-04-13,40123.57,41430.05,39712.75,41166.73,27691105228
2022-04-14,41160.22,41451.48,39695.75,39935.52,24342001973
2022-04-15,39939.40,40617.72,39866.83,40553.46,21756855753
2022-04-16,40552.32,40633.68,40078.43,40424.48,16833150693
2022-04-17,40417.78,40570.73,39620.89,39716.95,19087633042
2022-04-18,39721.20,40986.32,38696.19,40826.21,33705182072
2022-04-19,40828.18,41672.96,40618.63,41502.75,25303206547
2022-04-20,41501.75,42126.30,40961.10,41374.38,27819532341
2022-04-21,41371.52,42893.58,40063.83,40527.36,35372786395
2022-04-22,40525.86,40777.76,39315.42,39740.32,28011716745
2022-04-23,39738.72,39935.86,39352.20,39486.73,16138021249
2022-04-24,39478.38,39845.93,39233.54,39469.29,17964398167
2022-04-25,39472.61,40491.75,38338.38,40458.31,35445730570
2022-04-26,40448.42,40713.89,37884.98,38117.46,34569088416
2022-04-27,38120.30,39397.92,37997.31,39241.12,30981015184
2022-04-28,39241.43,40269.46,38941.42,39773.83,33903704907
2022-04-29,39768.62,39887.27,38235.54,38609.82,30882994649
2022-04-30,38605.86,38771.21,37697.94,37714.88,23895713731
2022-05-01,37713.27,38627.86,37585.79,38469.09,27002760110
2022-05-02,38472.19,39074.97,38156.56,38529.33,32922642426
2022-05-03,38528.11,38630.00,37585.62,37750.45,27326943244
2022-05-04,37748.01,39902.95,37732.06,39698.37,36754404490
2022-05-05,39695.75,39789.28,35856.52,36575.14,43106256317
